feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78
-0.006414195,0.012002726,-0.0077785947,-0.006802083,0.02136446,0.1396001,0.06836993,0.1255366,-0.10250321,-0.0024093213,-0.0015347888,-0.0039595305,-0.19241655,-0.16506088,-0.20453008,-0.03684015,-0.038496286,-0.038037185,-0.13632253,0.1145139,0.0084993085,0.0052976348,0.015694931,-0.01273567,0.021580402,0.015575524,-0.0019676522,0.012729724,0.014798242,-0.03459493,-0.03676489,0.0057080076,0.009344934,0.07328641,-0.0025557072,-0.0025050158,0.008808251,-0.20371751,-0.19109859,0.06518392,0.011320383,0.025488941,0.1918139,0.055767763,0.12836961,0.15637085,0.21264172,0.22508723,0.09839646,0.19663452,0.06025614,-0.0287475,0.0077980375,0.21183084,0.067730494,0.15851046,0.16165723,0.22725058,0.2432212,0.114640884,0.20792317,0.012639875,-0.012653643,-0.015081365,-0.014654836,-0.13589847,0.11286765,-0.21458367,-0.1720443,-0.22742875,-0.14858861,-0.09433615,-0.14896138,-0.03258289,-0.01236955,-0.03258165,-0.015156485,-0.03535634,-0.014220704
-0.14773017,0.011051796,-0.14903788,-0.14891508,0.01600593,0.111171305,0.06314889,0.10766454,-0.086962186,0.015347747,0.05145054,0.037774656,0.13199538,0.09653685,0.13291307,0.24951886,0.24311021,0.26344237,0.016544247,0.079948574,0.02119652,-0.005148857,-0.030466747,0.11774378,-0.12496583,-0.06872244,0.025645042,-0.028712355,-0.034669675,0.24796858,0.2655864,-0.0042728153,-0.13026309,0.023260085,-0.1380944,-0.13729492,0.010898779,-0.06598313,-0.064414755,0.18101981,0.0676558,0.1432641,-0.011204643,0.020080337,-0.0037085877,0.12159845,0.017264262,0.09208503,0.07612519,0.11376345,0.21339689,0.17496379,0.23470756,-0.043048363,-0.093438655,-0.09792408,0.13290198,0.008839175,0.1028124,0.08753661,0.11737687,0.060471144,0.0775347,0.08418864,0.090655945,0.016960775,0.07865752,0.11735652,0.05636121,0.10331182,0.13941343,0.11167518,0.15385841,-0.020205282,-0.012418479,-0.0063669616,-0.00053561456,-0.014085006,-0.006827601
0.10389727,0.030845085,0.10056226,0.10222169,0.023919532,0.090810135,0.055574164,0.09503052,-0.048550226,-0.018982682,-0.03016009,-0.05622445,0.14009088,0.11632294,0.15049693,-0.12207615,-0.12261105,-0.13226046,-0.043067697,-0.01271705,-0.065127686,-0.06055405,-0.07297875,-0.15903343,0.035755068,0.016563153,-0.049889147,-0.016784541,-0.00018809544,-0.16758166,-0.16064258,-0.06097716,0.0784682,0.009568907,0.07906127,0.08006354,0.009081802,-0.026180495,-0.025085451,0.11877648,0.035024993,0.083383396,0.014149527,-0.00072680664,0.013418949,0.08308516,0.012778081,0.068174556,0.0685075,0.09628133,0.1268688,-0.018933542,0.073887326,0.02635125,0.027036432,0.04338672,0.089192785,0.016755197,0.07994815,0.080497436,0.1019074,-0.04619794,-0.020931227,-0.024703296,-0.02858756,-0.04664152,-0.01320128,0.119209036,0.07012705,0.11535832,0.1541633,0.12849765,0.17160346,0.2917649,0.2917951,0.27063575,0.27083883,0.3027625,0.3030602
0.23996563,0.018519541,0.23886348,0.23899873,0.016333131,0.045379564,0.07124698,0.09749769,0.04886134,-0.0013205309,0.012002992,0.031326275,0.13556318,0.09689162,0.12967362,-0.05154564,-0.046641074,-0.050919537,0.045163874,-0.009424848,0.01969473,0.07115375,0.057597008,0.08414213,0.096626736,0.069034636,0.027221886,-0.05016777,-0.06511466,-0.001590864,-0.026576431,0.07182811,0.25599185,-0.010903218,0.26229882,0.26325792,0.011750245,0.023549438,0.049016897,0.097982615,0.05780267,0.1004674,0.048030045,0.021259785,0.043931928,0.010465003,0.019513877,0.042595696,0.090301,0.10793572,0.09449275,0.032747276,0.08566078,0.06484805,0.00904583,0.06732161,0.0032637175,0.024758153,0.050841983,0.10146465,0.10891044,-0.14818539,-0.030770319,-0.02097569,-0.02915132,0.041798107,-0.004674179,0.12571149,0.051109936,0.10441696,0.13290933,0.11900836,0.14367142,-0.22198492,-0.22846761,-0.20348369,-0.20833321,-0.23015703,-0.23411134
0.20399731,-0.008755851,0.20451228,0.20419596,-0.011191635,-0.041822508,-0.03427471,-0.0531507,0.026174203,0.014523615,0.0827103,0.028618243,-0.13674949,-0.11551405,-0.14013813,0.22131196,0.21649943,0.23194316,0.037167795,0.028290711,-0.035399485,0.0595453,-0.06481797,0.10326815,-0.011246769,0.010433525,0.023065615,-0.17183867,-0.18591148,0.21689054,0.21581519,0.05940193,0.24643998,0.006039049,0.2491508,0.24845752,-0.002126424,0.004337981,0.0003372184,-0.010318958,-0.0016689758,-0.004638381,-0.04170744,0.0063628484,-0.02959761,0.0047086207,-0.029837867,-0.008739308,-0.036816716,-0.041725263,-0.0016412797,0.08273443,0.047466863,-0.07183341,-0.06585963,-0.10818663,0.005950122,-0.042116694,-0.017850222,-0.042125832,-0.042841457,-0.15813181,0.062344756,0.06325997,0.07299955,0.0352507,0.032444835,-0.12433916,-0.080506414,-0.11892336,-0.13924947,-0.11484666,-0.1448101,0.1329573,0.13233253,0.13889448,0.13857338,0.14906347,0.14698677
-0.04749894,-0.020946313,-0.047404848,-0.046766717,0.024259001,-0.051474784,0.14463712,0.10207858,0.16870858,0.01021686,-0.012676248,0.009820653,-0.04858782,-0.120822445,-0.10368249,0.014444574,0.011848727,0.014802027,0.22602193,-0.2524647,-0.002443441,0.014102886,0.0060690604,0.00020580358,-0.016412595,-0.008584693,0.004510879,0.006980558,0.0049204575,0.010784941,0.012484817,0.014456111,-0.069879666,-0.10486463,-0.0568706,-0.05668348,-0.0073715695,0.27884504,0.2570552,0.06789925,0.09027426,0.123621926,0.11744561,0.116285056,0.17553852,-0.16836865,-0.15358469,-0.03807171,0.20845185,0.16627778,0.08200789,0.059214316,0.1332727,0.12527178,0.086850934,0.18899798,-0.16832179,-0.16774382,-0.014650388,0.23699377,0.17913067,0.02380145,0.0022446082,-0.0032246246,0.0008139156,0.23016559,-0.24956718,-0.03113961,-0.15473732,-0.11400102,-0.06709843,-0.03367013,-0.078294806,0.052601244,0.025714625,0.051553484,0.027626954,0.056953326,0.028942024
-0.051809266,0.02436165,-0.053914003,-0.05425155,0.0070896265,0.020840336,0.0030948177,0.010023154,-0.037738364,0.043234922,-0.09832921,0.14945245,-0.002495638,0.023737956,0.018275965,-0.04876,-0.036070593,-0.046380088,-0.0013524878,0.0046720635,0.15897338,0.473977,0.31843424,0.23964743,0.33409595,0.3386606,0.091458715,-0.03404594,-0.061566398,0.058629714,-0.04364876,0.47497997,-0.06591234,-0.0028702444,-0.067342415,-0.06647181,-0.005392631,-0.011420987,-0.018464,0.006479077,0.028288893,0.031000743,-0.016811267,-0.030763948,-0.046099674,-0.022868946,0.027991582,0.0009930239,-0.0047893715,-0.006242171,-0.013812861,0.032565583,0.0026419328,0.008530115,-0.0507592,-0.017713327,-0.034475088,0.038952846,0.0013497589,-0.0067467764,-0.005235929,0.062407464,-0.0350102,-0.029918663,-0.03285268,-0.0056494437,0.0022636612,0.002402787,0.022592207,0.02010497,-0.004805938,0.014757535,0.015205481,0.06355096,0.06387788,0.08074042,0.08104302,0.0772348,0.07654693
0.008885975,-0.008946243,0.009288691,0.008738043,0.015140425,0.025488932,0.0074837236,0.024558516,-0.013919233,0.07769197,-0.11248636,0.11727508,-0.032691725,-0.010814505,-0.02269463,-0.0055827624,0.01580973,0.0021866015,0.038857333,0.0143014,0.17212056,-0.07382413,0.38906476,0.26473296,-0.20836891,-0.2141874,0.16609247,0.52076477,0.45028728,-0.058365628,-0.0020924944,-0.07490947,0.11713372,0.0016256529,0.116944484,0.1182534,-0.00015379315,0.005773853,-0.00086570473,0.035034075,0.0033132639,0.034057844,-0.040471904,-0.04306378,-0.057376593,-0.00049150945,-0.016403245,0.011348083,-0.01415327,0.004427263,0.036776196,0.04876294,0.045296483,-0.035625003,-0.083708584,-0.06119892,-0.007268887,-0.011313319,0.0136627965,-0.013861926,0.0077900523,-0.13223018,-0.021615949,-0.015563297,-0.018368468,0.03355808,0.016684044,-0.027844228,-0.0031669156,-0.019894859,-0.03569124,-0.013474457,-0.022679638,0.026585814,0.02766581,0.057545602,0.058212437,0.04771412,0.04729721
0.018749598,0.2526039,-0.0022309213,0.0040842826,0.24479887,0.3509195,0.0051709013,0.30245763,-0.06320136,0.009976648,-0.0063439114,-0.0018749693,-0.017758256,-0.007658167,-0.02694652,0.008831513,0.019737514,0.013116675,0.09430794,-0.21252534,-0.019243881,-0.0039844774,-0.033394605,-0.017521095,0.000358185,-0.0051075034,0.0012570267,-0.037686624,-0.037736703,0.004513206,0.007847304,-0.0044384566,-0.004784034,0.059093192,-0.014830475,-0.011975065,0.08941207,0.120742954,0.10669761,0.09476199,-0.25739926,-0.15134221,0.068462186,-0.27006966,-0.18018644,-0.0528635,-0.010406024,0.14782444,-0.22456098,0.065172285,0.113090955,-0.17296907,-0.10959036,0.08088908,-0.1832275,-0.14425528,-0.061854564,-0.02388351,0.1544325,-0.25265098,0.056152925,0.010662511,0.0059558055,0.01328303,0.007901118,0.08718848,-0.20308545,-0.03672602,0.04150318,-0.050278783,0.007960892,-0.061406806,0.0033014694,-0.0058405693,-0.017673083,-0.012082836,-0.018758524,-0.011963033,-0.021976199
0.06481624,-0.19131762,0.079739265,0.07488928,-0.16085963,-0.029364767,-0.13437305,-0.09655127,-0.0031933002,0.4858396,-0.33725798,0.42152935,0.07020483,-0.11126485,-0.045746688,-0.04116547,-0.044334285,-0.046180375,0.11983828,0.056792937,-0.138351,0.026625875,-0.08028186,-0.1027562,-0.0683014,-0.069949806,0.094236515,-0.06379732,-0.09226562,-0.06627099,-0.043559965,0.025896523,-0.058528833,-0.003480878,-0.060235668,-0.061977457,-0.053973224,0.021665335,0.012712219,0.10799199,-0.048424892,-0.017271342,-0.042850994,-0.031002175,-0.03418848,0.18055198,-0.14870785,0.06103661,-0.057541385,0.033335477,0.123580895,-0.082211584,-0.026884295,-0.036636718,-0.003227741,-0.020173931,0.19418079,-0.14326869,0.07381084,-0.056661017,0.049084544,0.07169306,-0.002531453,0.001838803,-0.0016295688,0.12517698,0.063639104,0.050118648,-0.09713246,-0.063745,0.08364244,-0.08906251,-0.018435974,-0.02510963,-0.022631867,-0.02002662,-0.020400569,-0.015755495,-0.016179487
