,date_id,time_id,symbol_id,weight,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,feature_23,feature_24,feature_25,feature_28,feature_29,feature_30,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,responder_0,responder_1,responder_2,responder_3,responder_4,responder_5,responder_6,responder_7,responder_8,partition_id,feature_00_nan,feature_01_nan,feature_02_nan,feature_03_nan,feature_04_nan,feature_08_nan,feature_15_nan,feature_16_nan,feature_17_nan,feature_18_nan,feature_19_nan,feature_21_nan,feature_26_nan,feature_27_nan,feature_31_nan,feature_32_nan,feature_33_nan,feature_37_nan,feature_39_nan,feature_40_nan,feature_41_nan,feature_42_nan,feature_43_nan,feature_44_nan,feature_45_nan,feature_46_nan,feature_47_nan,feature_50_nan,feature_51_nan,feature_52_nan,feature_53_nan,feature_54_nan,feature_55_nan,feature_56_nan,feature_57_nan,feature_58_nan,feature_62_nan,feature_63_nan,feature_64_nan,feature_65_nan,feature_66_nan,feature_73_nan,feature_74_nan,feature_75_nan,feature_76_nan,feature_77_nan,feature_78_nan
date_id,1.0,0.0748690925702,0.11622332226616405,0.21148475401364955,0.3779242407995602,0.010416484829315236,0.3778040486887738,0.37657315600526575,-0.003067738117680967,-0.035177531942924556,-0.0023841761453133378,-0.009417075804185621,0.0718972749040313,-0.004043339557310954,0.03329917306969259,-0.02283555885552177,-0.03513804308639771,-0.03739833015004891,-0.045454869012095785,-0.3120072133171633,-0.25568156401055014,-0.30253666925214245,-0.0350316516921175,-0.04269611695734152,-0.21641695395888078,0.06993708378175036,0.05316119213633824,0.4631015466554725,0.05927514744566537,-0.11764394545057158,-0.23712593637719404,-0.3159076342169948,0.3011824152296118,-0.02400700518455591,0.31073064039544634,0.30961128027817236,-0.0041789196866903735,0.030491193522974126,0.04141752789244829,0.04205300882114823,0.01615595669551476,0.047322861934802465,-0.07804715628708282,-0.07512791768335192,-0.1074716986693279,0.044636743421770674,-0.061009519354470756,-0.006142626070944578,-0.004977544405754396,0.0007211776690765605,-0.06993816296878447,-0.10091016033872495,-0.10174633206726488,0.08345358105125002,0.0322400601296497,0.0976194350550037,-0.020513641680471824,0.04422545125598036,-0.009652738324035223,0.002746011222259216,0.0023053674616437996,0.013655532260250187,-0.34027038436214596,-0.24242698234171436,-0.3109055573154982,-0.06690800481160893,-0.06699947401182352,-0.04105459551748957,-0.035231699197643004,-0.046652630328601966,-0.023862444745623032,-0.026798211470648033,-0.03908516577686591,0.0027725892993149585,-0.002477969116370218,0.017771253219850715,0.009734021679726972,0.008462552641871035,0.003203045103694963,0.0019574244568157976,-0.003057889271287031,0.0021603863004125735,-0.013117286071079703,-0.010492929467732096,-0.016494778323944498,0.0034748452266537694,0.010290259301432998,0.005642996719589588,0.9939037019025092,-0.5234862832980485,-0.5234862832980485,-0.5234862832980485,-0.5234862832980485,-0.5234862832980485,0.05591261130394112,-0.006891411753381579,,-0.0016524041483300359,,,-0.7216088065516639,-0.7216088065516639,-0.7216088065516639,-0.7216088065516639,-0.0024514019593747495,-0.0024514019593747495,-0.003951992445777333,-0.1026116792645186,-0.07617605274902545,-0.042621036005508754,-0.1026116792645186,-0.07617605274902545,-0.042621036005508754,-0.1503931580357412,-0.1503931580357412,-0.011171481548689357,-0.09554993428856878,-0.03026701853316197,-0.028304042155871095,-0.09554993428856878,-0.03026701853316197,-0.028304042155871095,,,-0.0024514019593747495,-0.1463778283027632,-0.12989886766886624,-0.13414251754062503,-0.1503931580357412,-0.1503931580357412,-0.0017287554459082372,-0.0017287554459082372,0.022328087009302156,0.022328087009302156,0.007526708168268806,0.007526708168268806
time_id,0.0748690925702,1.0,0.0016217867473520113,0.01467916049083033,-0.0024637598659695064,-0.3332822758956122,0.02331086270985311,0.017565812392879812,-0.12179711354125278,0.008813933586088266,-0.008802930580108283,-0.003057225103018007,0.013722325809708693,-0.005170306603220036,0.003955551661777999,-0.007924347064302771,-0.010827209338428042,-0.06621937644616467,-0.07850406517970909,-0.03543286357752217,-0.030365223188617865,-0.03220481734579655,0.36519375721457054,0.41360485512241685,-0.012370914605048338,0.014506153462875019,0.007950522599564967,0.03269339186743815,-0.0023550394521507745,0.001445569470086721,-0.015426700398937702,-0.022387765097718223,0.028455131706811722,0.028487117269665758,0.0159211327318431,0.014805835192598297,-0.0355574492028983,-0.02129331877888967,-0.010689170418774839,-0.03286115288375352,-0.004256968961112726,-0.032673049688935175,0.041835990394693885,0.02776976474846092,0.0388799582405674,0.30540772901339347,-0.2382848392253803,0.03637035066615924,-0.010540078861732742,0.003762498988634006,-0.04520539327784311,-0.03867981308359287,-0.05610977665225602,0.0488014617380663,0.037754432562455094,0.047920403928313246,0.30693202380019713,-0.2158635822665878,0.018536066371598457,-0.003965468797847142,0.009095529158494216,-0.0004903866718299458,-0.09976381740619021,-0.03799531224948294,-0.061872934754030766,0.3848188625365049,0.44297589899062484,-0.016247914051295977,-0.05630311692031614,-0.07625006028098766,0.00040789517585984716,-0.050887445413711076,-0.07199453768957975,-0.11443454364977468,-0.11535320036467696,-0.03918912627175443,-0.03865390542333798,-0.06979178542710514,-0.06977868861549495,0.03837286446460584,0.10478778554689473,0.003143809490157812,0.010201669249825924,0.014671096994890836,0.0034557380330142453,-0.0071329678788924515,-0.017330508282363332,0.00038357531138840387,0.07670285013850281,-0.04687192876121037,-0.04687192876121037,-0.04687192876121037,-0.04687192876121037,-0.04687192876121037,0.005994253191577587,-0.27749505960769144,,-0.11531011420505287,,,-0.07162792101515103,-0.07162792101515103,-0.07162792101515103,-0.07162792101515103,-0.17502995879337116,-0.17502995879337116,0.0004730588936853208,-0.4261755429808928,-0.04459886203838003,-0.23451678568644277,-0.4261755429808928,-0.04459886203838003,-0.23451678568644277,-0.1079153424337213,-0.1079153424337213,-0.00881143512898205,-0.4248449359295131,-0.006468198056529606,-0.2312860995556067,-0.4248449359295131,-0.006468198056529606,-0.2312860995556067,,,-0.17502995879337116,-0.10076405669019639,-0.07950792713653977,-0.08496480642934896,-0.1079153424337213,-0.1079153424337213,-0.17494426610749567,-0.17494426610749567,0.015102214604533487,0.015102214604533487,0.006233788022197128,0.006233788022197128
symbol_id,0.11622332226616405,0.0016217867473520113,1.0,-0.2170292874501461,0.008288611983665024,0.003611521977245155,0.006841952581387616,0.008603366223735807,0.00023774385417925112,0.002606679446576625,-0.0016900482252702206,0.0005585732776609608,0.006774075623706087,0.26185871180835485,-0.018749353992232612,0.356342975916234,0.004605724218902768,0.0059536295076222726,0.001240368356506276,0.05446854767568698,0.04380878044366711,0.05246190586738947,-0.011337243984342394,-0.011324982984456862,-0.16544106767212363,-0.26901069587033216,-0.1549298034623173,0.06323915261236732,0.023949829885894575,-0.10728940832029817,0.0864406991694606,0.04722182749192613,0.016968629566866924,-0.0049880183319643305,0.01954498432193025,0.017507071120110542,-0.0019551407653763423,0.011221757678636068,0.008834533075180864,0.011811489696517678,-0.012316418925134277,-0.003815109486272409,-0.015052517921959468,-0.0013038796027565697,-0.012174840346443967,0.021757364747993634,-0.020683722068240814,-0.001784143248049892,-0.0036428192173292317,-0.006208197588794263,0.01767425308549467,0.001019979217941235,0.013711110859343479,-0.012170557946375553,0.028120439235922452,-0.008115971455682486,0.027260865069912293,-0.016332883598954316,-1.4198417740463596e-05,0.006063878841262376,6.636505581841415e-06,0.009555543037167907,-0.009588128194202659,-0.007923923688018357,-0.004422799856289333,-0.018875120063021517,-0.020842483285855952,-3.500123476434322e-06,0.002799814586844575,-0.0004970327292019191,0.003932465323634987,0.004855710787405745,0.0012453716584624923,0.035849852237529595,0.03542597101226696,0.034719872978374894,0.035858186309748255,0.036664068186552705,0.03291545069190369,-0.001002545769132682,-0.009743685513358575,-0.004437238424102747,0.0008742405376358202,0.004291008652723695,0.0005780917850677225,-0.002588423954991757,0.0020976698699169557,0.003457414635139497,0.11567462487662983,-0.09370198869132013,-0.09370198869132013,-0.09370198869132013,-0.09370198869132013,-0.09370198869132013,-0.0006484815883355647,0.0020535981521906358,,0.0013258209181531181,,,-0.11657338344430976,-0.11657338344430976,-0.11657338344430976,-0.11657338344430976,0.00671933423883233,0.00671933423883233,0.0013146420897516416,-0.007997387944358149,-0.006935247787701501,-0.0033814313332228545,-0.007997387944358149,-0.006935247787701501,-0.0033814313332228545,-0.009266454605253327,-0.009266454605253327,-0.0027989044673893443,-0.008324688092754098,-0.005870225949342257,-0.00294983932788055,-0.008324688092754098,-0.005870225949342257,-0.00294983932788055,,,0.00671933423883233,-0.008379715976941987,-0.007743929237884433,-0.009278438051643172,-0.009266454605253327,-0.009266454605253327,0.006835467781198821,0.006835467781198821,0.0012330542749601403,0.0012330542749601403,0.002059553003430572,0.002059553003430572
weight,0.21148475401364955,0.01467916049083033,-0.2170292874501461,1.0,0.08079428837824564,0.007201969175780179,0.07765644082626796,0.08180043702142811,0.00396832694660355,-0.0018173754031045191,-0.006266746938165435,-0.0035855004352441586,-0.00010788849766742742,-0.10583966794168069,-0.09814251479466748,0.06684698724757503,-0.07605767191537556,-0.03654166906202226,-0.05698062197951198,-0.22809466900483838,-0.17598558639037276,-0.2159598595888313,0.016404857585779028,-0.006861971814203,0.28037310752029176,0.8297837577372017,0.5319408073755085,0.31241360339451046,0.24418652565368948,0.32050231211445923,-0.14252702478149679,-0.20586736038361028,0.07763444375315386,-0.014956762941782874,0.07918305837267726,0.07994457278498761,-0.004984979482230339,0.006862669990075289,0.012809211274075024,0.0013183300833359817,0.031030623715212726,0.033258489481122075,-0.024367602858454344,-0.05905736748607689,-0.062097783879602325,-0.02856512038499291,0.006638440103700548,0.00629178363451413,-0.003925601003805787,0.0001937121427849147,-0.058519400101663545,-0.01333420744528562,-0.05714696245022926,0.050380767937607984,-0.03633729109050375,0.045449133080119365,-0.06863683998281107,0.04886418713362939,0.005926090859035266,-0.0034548988789181037,0.0017340177313306742,0.0011758100044932287,-0.18172677242588137,-0.1255057684025641,-0.1662131766493158,-0.0008270866619593662,-0.013034149685598899,-0.06449111732022621,-0.029708706150433962,-0.04564355740342092,-0.07889646542381702,-0.03132911265469115,-0.05922941804577548,-0.08680016126871881,-0.09151511764033066,-0.06671854565771389,-0.07090468728315669,-0.08152539551318529,-0.08318668655771237,0.0017110897816425023,0.011995417335370014,0.004659248161940516,-0.006649053035005773,-0.007231346407003235,-0.011113742556522971,-0.002422291758258086,-0.005601987957700915,-0.006809135756414426,0.21415145529738985,-0.01787958149137423,-0.01787958149137423,-0.01787958149137423,-0.01787958149137423,-0.01787958149137423,0.03259514134996811,0.004042537616996869,,0.0026802406753893906,,,-0.08483840360115019,-0.08483840360115019,-0.08483840360115019,-0.08483840360115019,0.006547975311807869,0.006547975311807869,-0.008091923317400324,-0.016384433644984254,-0.026077213535864535,-0.004954275754793388,-0.016384433644984254,-0.026077213535864535,-0.004954275754793388,-0.055788969700249665,-0.055788969700249665,-0.0028956705988429548,-0.013721199358242675,-0.004240077059491047,0.0005693000336988621,-0.013721199358242675,-0.004240077059491047,0.0005693000336988621,,,0.006547975311807869,-0.05310670057287257,-0.04736171215297086,-0.04776628127705558,-0.055788969700249665,-0.055788969700249665,0.00822381700897078,0.00822381700897078,0.015908337322467905,0.015908337322467905,0.01571321470274021,0.01571321470274021
feature_00,0.3779242407995602,-0.0024637598659695064,0.008288611983665024,0.08079428837824564,1.0,0.053995528717937114,0.9451806504580034,0.9474179305565248,0.035469162678713397,-0.034953194916208824,0.0023101044201725637,0.0018078196977393615,0.10633169905750228,-0.00015959072211970595,0.008659289214237528,-0.0008663170870883545,0.0034480785376486594,0.0033323269886004507,0.008292124219217123,-0.16529783243201399,-0.14241319714475648,-0.16047332206798343,-0.003516745217867695,-0.03533663270311722,-0.07708344612914175,-0.020994813147701952,-0.010757296620645335,0.20867909096836698,0.11190583327017903,-0.1624611267494536,-0.13678725405749695,-0.16887166216100924,0.5102754100551478,-0.032567269369300336,0.530400538490152,0.5285316635998057,-0.004050535963441119,0.027041641771360488,0.059228112883094416,0.007467370415069412,0.004386972507019785,0.00018854859252648927,-0.01813791038466257,-0.024293158866430978,-0.02112376460548887,-0.01405756465457916,-0.01318279647056499,-0.025280166458109887,-0.013585582712004097,-0.0030870914594101433,-0.01977224897055897,-0.06739021949215233,-0.04927741278870077,0.02580669115582589,0.025792491313966253,0.047157572743141696,-0.03289600207222696,0.00641735322811578,-0.006503828349555902,-0.004781403858656984,0.0015869756132365156,-0.20305519386732002,-0.12283534680774352,-0.10732811150223301,-0.12233179194858751,-0.01343689381015944,-0.03377405649679991,0.0032093744101851754,0.0040252554240106184,0.00622153422022149,0.005646300122072354,-0.0005711277322547761,0.009009607449208269,0.03426749274294424,0.027321482056988547,0.0417147259995608,0.03198244103534764,0.038015021959810616,0.031072674614405313,-0.005798858783654203,-0.000280613370691211,-0.0031388595600070532,-0.035002386060191015,-0.018324485262552447,-0.04697265273584334,0.00524655967988195,0.01121795874021025,0.003316268574780199,0.38192319490407617,-0.08764406560820555,-0.08764406560820555,-0.08764406560820555,-0.08764406560820555,-0.08764406560820555,0.06302681917942571,0.0195452049663737,,0.01746399035613682,,,-0.08715644993769225,-0.08715644993769225,-0.08715644993769225,-0.08715644993769225,0.017241776270661126,0.017241776270661126,-0.0018060459501410063,0.01977545544419308,-0.008396077846063233,0.013947527707207674,0.01977545544419308,-0.008396077846063233,0.013947527707207674,-0.018110559219846344,-0.018110559219846344,0.0002555995613930993,0.020328388768656065,-0.0022488100606007783,0.016955433438081306,0.020328388768656065,-0.0022488100606007783,0.016955433438081306,,,0.017241776270661126,-0.02157159434348215,-0.016041185329225566,-0.01727329369538654,-0.018110559219846344,-0.018110559219846344,0.017324779943113242,0.017324779943113242,0.0024596207343990607,0.0024596207343990607,0.0004482828569923267,0.0004482828569923267
feature_01,0.010416484829315236,-0.3332822758956122,0.003611521977245155,0.007201969175780179,0.053995528717937114,1.0,-0.011455278965215688,-0.002759599976683481,0.3316065116332899,0.18088285299743587,0.0071904551043172685,0.11747929771308172,-0.01205564454623096,-0.007401224358105766,0.0011418051611714712,-0.008322449758975094,0.009247676662614463,0.04070435403994046,0.058912028928239935,-0.012712068842245895,-0.012172214305944137,-0.010674031651099895,-0.14552675476014798,-0.13016132395977406,-0.011923029762309164,-0.0035527795169215705,-0.010498796828048745,0.013500803131726725,0.007437027893673679,-0.001661957378577604,-0.01111575632676904,-0.01366697856619493,-0.0048428999385983365,-0.007374546731035512,0.010271381115633202,0.016169070426481937,0.06922317243041398,-0.010019403341531159,0.05581957437668662,0.0520257976354982,-0.01256007826259042,0.013875847245021937,-0.0004501435570731438,-0.0374303063293782,-0.03238934793736196,-0.06841929885704605,0.1578733797602291,-0.006013127942249416,0.010226313608114199,0.028396498365907793,0.0512371153104937,0.010081988803756698,0.02576345245971778,-0.01441922855120367,-0.03340239325308599,-0.025316782049706235,-0.0858614901959532,0.14176295387198068,0.03937914492549183,0.006989279006074045,0.01590639393344412,0.0006974866984297998,0.016180675952126716,0.014932904381211889,0.01507599129058157,-0.17376152385617785,-0.12834208423125537,0.0034029008490332594,0.02706675036368091,0.04628888903250068,0.016919573045440298,0.038141901915220947,0.06398159813603911,0.05688020862664582,0.05017386846762925,0.02355590297611447,0.014677427671690781,0.03762356023877747,0.034305362722052105,-0.019990195171842966,-0.038669226917036795,-0.009767261495036126,-0.027877590628281112,-0.022263203732656472,-0.016527767701601307,-0.026137729757780677,-0.012696297016722102,-0.013292722635348623,0.010978577899007285,0.0008124252999978337,0.0008124252999978337,0.0008124252999978337,0.0008124252999978337,0.0008124252999978337,0.015415565620672264,0.12785392893783926,,0.03997935014294378,,,-0.006566671827913687,-0.006566671827913687,-0.006566671827913687,-0.006566671827913687,0.07443254892053251,0.07443254892053251,-0.0028469078677611443,0.22268766013023464,0.01793087581226443,0.10487421718282738,0.22268766013023464,0.01793087581226443,0.10487421718282738,0.03768672726423282,0.03768672726423282,0.005109704624447911,0.2226416005996303,0.0023568046280086456,0.10404313708721587,0.2226416005996303,0.0023568046280086456,0.10404313708721587,,,0.07443254892053251,0.03681943347408936,0.027427789716406505,0.02981915149125709,0.03768672726423282,0.03768672726423282,0.07277264153263598,0.07277264153263598,-0.010594264569265318,-0.010594264569265318,0.003915321898256402,0.003915321898256402
feature_02,0.3778040486887738,0.02331086270985311,0.006841952581387616,0.07765644082626796,0.9451806504580034,-0.011455278965215688,1.0,0.948851090731027,-0.014986957200519105,-0.04461209133190402,-0.0073733379200016,-0.015964029181460195,0.1027889987507307,-0.00034755261075303034,0.0059787433391164276,-0.0020004583322642913,0.003508941354211171,-0.0012453624498941953,0.0011508199373108014,-0.16335203315353916,-0.1415410751182823,-0.159079762595675,0.0072310352692687065,-0.0222044596102569,-0.0767383008879341,-0.022084590338458523,-0.0113101214454131,0.2069464255168848,0.1111347245859274,-0.16480062717233454,-0.1351670110066202,-0.16702222839103278,0.5119368081541716,-0.02783686089634747,0.5304863465452074,0.5282590357738134,-0.00931197739618787,0.027921857902515227,0.053235059053552136,0.004200255300637596,0.0070141630698862005,-0.0005750247919375896,-0.016200806063988486,-0.01936670548123267,-0.017030885155851848,-0.0037302146092707024,-0.024385511113610255,-0.02038679635094044,-0.01721572116159312,-0.005424595929592922,-0.02231486538922575,-0.0697936573581673,-0.05420121427404808,0.030367376118496044,0.026025367778272693,0.048221654893930974,-0.020949769631784236,-0.00418065849977888,-0.005136825531502891,-0.009775250807360717,0.000726468452203446,-0.20382258517499854,-0.125925147463672,-0.10807935270388618,-0.1261522388776214,-0.0007741049525121158,-0.021145821296375013,0.002482871346733614,0.0011157885143459056,-2.120779751942282e-05,0.006041638625950602,-0.006071221911923079,0.0020709280560545543,0.02899011312360045,0.022450237111846995,0.0392314607220352,0.031025193000584265,0.03398416683847038,0.027196746974355823,-0.003729009905482,0.0030971864754572313,-0.0037940634171296323,-0.030333317247966462,-0.01433752704680682,-0.044153788550972406,0.011375673461691762,0.014669504949583639,0.007839900217965615,0.38162847254196947,-0.08833937737703669,-0.08833937737703669,-0.08833937737703669,-0.08833937737703669,-0.08833937737703669,0.06379479464636126,0.001355945365786503,,0.008507101605080853,,,-0.08888808945609745,-0.08888808945609745,-0.08888808945609745,-0.08888808945609745,0.006183209787084379,0.006183209787084379,0.0022263555505481506,-0.005905320747911164,-0.011486004285015986,-0.002866921792000361,-0.005905320747911164,-0.011486004285015986,-0.002866921792000361,-0.02119071494781668,-0.02119071494781668,-0.0002065632103932508,-0.005151965364748725,-0.003036360308663547,0.00025260265328066203,-0.005151965364748725,-0.003036360308663547,0.00025260265328066203,,,0.006183209787084379,-0.02577039111088104,-0.019433561835111402,-0.020540453416833873,-0.02119071494781668,-0.02119071494781668,0.006462496652766581,0.006462496652766581,0.004249016990523638,0.004249016990523638,-0.0014142019938476154,-0.0014142019938476154
feature_03,0.37657315600526575,0.017565812392879812,0.008603366223735807,0.08180043702142811,0.9474179305565248,-0.002759599976683481,0.948851090731027,1.0,0.016423793080362622,-0.04603546284202189,0.00031906787038981087,-0.00887997768185068,0.10741466950016476,-0.0015246811054518451,0.007970137800209966,-0.003346605692006163,0.0018057586765990786,0.0010288348727239788,0.0029497215409489577,-0.16424120939271,-0.14177113088486146,-0.16054132634743662,0.006496123790679995,-0.028615466086138592,-0.07614645545688799,-0.0192502519728173,-0.009873914018990576,0.2071364114546195,0.11197117608672165,-0.16246021634809868,-0.13678319184260695,-0.16858176195402994,0.5138472002588466,-0.03169327064761481,0.5331862530543322,0.5313795337558584,-0.00932428530481422,0.030615782061604608,0.05735953413894929,0.0039417118061856075,0.004759142641310267,-0.0021967828205144216,-0.01749237158254028,-0.021374216689367332,-0.018496010844428198,-0.010305999752656092,-0.023655265682901664,-0.025481508757386404,-0.015232717533894453,-0.007618705228156039,-0.0239821590138009,-0.06641577342454205,-0.05375859905712033,0.0280335040893194,0.027198655635418036,0.05043225446424508,-0.0285376536379761,-0.002847608984488168,-0.008656726495692622,-0.006994161871033385,-0.0010607924505685814,-0.205266936190751,-0.11961031235710944,-0.10470172233820815,-0.11968923745750978,-0.0021547372249276766,-0.027178588649190167,0.001884404380254635,0.003422571951825574,0.0025244797154503683,0.003459608952793154,-0.0039045387883051633,0.0025883531371913566,0.034311389991962295,0.027947156217097258,0.04426897891987459,0.035371533222953055,0.03970466326619474,0.033256789681640864,-0.005486475433273914,0.0009304136796446933,-0.003381426976727139,-0.033673528389477785,-0.015129063864691785,-0.04712985177140117,0.00801339068917734,0.014064029786002026,0.003891538204501333,0.3806054537509129,-0.08737860908394286,-0.08737860908394286,-0.08737860908394286,-0.08737860908394286,-0.08737860908394286,0.06067823278137433,0.012282119025517584,,0.01770856131070917,,,-0.08655310493561254,-0.08655310493561254,-0.08655310493561254,-0.08655310493561254,0.015219017015783,0.015219017015783,0.0016043609575670291,0.003263915239247565,-0.009849899913338026,0.007197750114996435,0.003263915239247565,-0.009849899913338026,0.007197750114996435,-0.019359261261985783,-0.019359261261985783,-2.340155035608786e-05,0.003989395230718001,-0.003775386523190442,0.010238474912314445,0.003989395230718001,-0.003775386523190442,0.010238474912314445,,,0.015219017015783,-0.0225898074751068,-0.01781837132763094,-0.01860058654072771,-0.019359261261985783,-0.019359261261985783,0.015316818963576676,0.015316818963576676,0.003714835207990238,0.003714835207990238,-0.0012785102608070264,-0.0012785102608070264
feature_04,-0.003067738117680967,-0.12179711354125278,0.00023774385417925112,0.00396832694660355,0.035469162678713397,0.3316065116332899,-0.014986957200519105,0.016423793080362622,1.0,0.10972716726266311,0.14122494709755395,0.2503691244149962,0.0027471442672340595,-0.002229274370586274,-0.0042849560760018675,-0.0018960850000524277,-0.013940195096137723,0.034209055907579417,0.03545237532856546,-0.002601745494102664,-0.0030084833997395537,-0.0008599696298043172,-0.057742296256756566,-0.05912595273810076,-0.005018950280804994,-0.00405537083542301,-0.006859582689515965,0.0015516689290884025,0.003125959426869462,-0.007026215494267532,-0.007549581961588226,-0.008317407760462666,-0.007906028367032213,-0.025108916721448233,-0.00031871936883705624,0.006312695108354816,0.09892953091871935,0.01000405980827999,0.03595125945950484,0.029049832661262875,-0.004545421829303632,0.015192591579664258,0.01553744840593926,-0.015227733037322283,0.0012263912400856888,-0.04356680696908527,0.0607776095173598,-0.03116167964733632,0.021834579081979087,0.012338130371469549,0.0206944258226109,0.026108808294094225,0.024738784138325285,-0.00048261687536011865,-0.0069997374792323975,0.006120240895119287,-0.05212712473328049,0.05010454068971043,-0.00931957443554555,0.026219630646619824,-0.009583138899298023,9.057597387605342e-05,0.015013678321766035,0.0039387537294232845,0.013950615724270124,-0.0657073664518635,-0.06858418275127506,-0.01425432592524099,0.025437948121483044,0.030457866780088383,-0.014688006644339023,0.034854408154770505,0.03394392024098238,0.033941336853423494,0.029533122153961793,0.019175462909677844,0.014803871722268843,0.02762856975412993,0.023985516301751983,-0.01476647685226112,-0.017190024583086515,-0.0017617989786850724,-0.03607553280435273,-0.022680953892274095,-0.028236301814347255,-0.034916059678601306,-0.013125062357670709,-0.030480394483977227,-0.004523639477768857,0.0038422438244018987,0.0038422438244018987,0.0038422438244018987,0.0038422438244018987,0.0038422438244018987,0.009559084794959918,0.14598533343804165,,0.08133105033380655,,,0.005562565593870251,0.005562565593870251,0.005562565593870251,0.005562565593870251,0.10264521443600004,0.10264521443600004,-0.00407526550759036,0.1642111600630345,0.016516779077627167,0.1329847984913518,0.1642111600630345,0.016516779077627167,0.1329847984913518,0.02054324552110335,0.02054324552110335,0.0023904564342590432,0.16468455781507982,0.006267081342994919,0.1339321141894342,0.16468455781507982,0.006267081342994919,0.1339321141894342,,,0.10264521443600004,0.0195571845118219,0.014750894607785718,0.0174152314668491,0.02054324552110335,0.02054324552110335,0.10128224860007025,0.10128224860007025,-0.016559087014859523,-0.016559087014859523,-0.007303002290093406,-0.007303002290093406
feature_05,-0.035177531942924556,0.008813933586088266,0.002606679446576625,-0.0018173754031045191,-0.034953194916208824,0.18088285299743587,-0.04461209133190402,-0.04603546284202189,0.10972716726266311,1.0,0.23176045784740604,0.6662134508254457,-0.473833244105715,-0.01258634242922505,0.009067668644888852,-0.006651380174666148,-0.00371929900702521,-0.00927011329411787,-0.0017315007746488754,0.02899668559241832,0.028221937555204083,0.03095988782147399,-0.10256895229428603,0.13914777258359898,0.008600224246560676,-0.004470394392528607,0.0009204820848957785,-0.01208511064276612,0.0051407426300961005,-0.0016473374621154854,0.01139713032340417,0.011553793725426397,-0.0006768022892069227,0.17113683897366122,-0.03727771239407833,-0.030452449231420025,0.050854975397205425,-0.25659226111291766,-0.2621258797126182,0.309964913955685,0.02380387921827743,0.12112910184282479,0.19288349475955133,-0.0010384711168746302,0.044520629542162085,0.3147423284779288,0.25002575645297687,0.4700807467241354,0.0940105407704221,0.3105518169652011,0.3235198476066457,0.0197316459198441,0.1384869396760932,0.19901797230822774,-0.025526527038387384,0.03907644631476609,0.32700418934976716,0.2656323958334057,0.513101285729029,0.12274517836683387,0.3603746755614918,0.031497472043112054,0.02670943200653859,0.00889687130669971,0.014319599533080773,-0.09646252744984558,0.1289452420172437,-0.07144123343149057,-0.05828975005853939,-0.08171435628112377,0.0840942596432861,0.047597121978162404,0.09593580366251123,0.03490782051360919,0.05827424035448863,0.04790079698114211,0.07193115563139293,0.0504314675308731,0.07054020781977009,0.004355950308312351,-0.002193183088723346,0.007645287472636938,-0.02383156522597788,-0.018275014140465992,-0.01889292506201107,-0.024243192939249515,-0.014611970253659925,-0.023128145342329376,-0.036575243456099735,0.005152967411385988,0.005152967411385988,0.005152967411385988,0.005152967411385988,0.005152967411385988,-0.03453465805613079,-0.028523179566555215,,-0.01260496770149062,,,0.023637569888392294,0.023637569888392294,0.023637569888392294,0.023637569888392294,-0.014565801348258592,-0.014565801348258592,0.0005484288118775002,-0.018288682744058996,-0.013010673872879215,-0.02685427322279563,-0.018288682744058996,-0.013010673872879215,-0.02685427322279563,-0.009337465875530873,-0.009337465875530873,-0.001963706367039044,-0.018816676613019945,-0.0024149701399083967,-0.025221250990909525,-0.018816676613019945,-0.0024149701399083967,-0.025221250990909525,,,-0.014565801348258592,-0.011650809255041009,-0.008810793428721644,-0.010561818430379103,-0.009337465875530873,-0.009337465875530873,-0.013370877883258105,-0.013370877883258105,0.061793949600964515,0.061793949600964515,0.02068314551186628,0.02068314551186628
