            feature_00  feature_01  feature_02  feature_03  feature_04  feature_21  feature_26  feature_27  feature_31  feature_39  feature_42  feature_50  feature_53
feature_00    1.000000    0.053153    0.944555    0.945769    0.017292   -0.004800    0.000230   -0.147011   -0.004704   -0.004601   -0.002657   -0.029423    0.024441
feature_01    0.053153    1.000000   -0.011865   -0.002896    0.317682    0.002540   -0.001429   -0.008241    0.003569    0.048791    0.004374    0.049272    0.002564
feature_02    0.944555   -0.011865    1.000000    0.947902   -0.027021   -0.004960    0.000290   -0.147133   -0.004943   -0.008396   -0.002914   -0.033160    0.024315
feature_03    0.945769   -0.002896    0.947902    1.000000   -0.002817   -0.004953    0.000208   -0.147141   -0.004935   -0.007492   -0.002162   -0.032311    0.024972
feature_04    0.017292    0.317682   -0.027021   -0.002817    1.000000    0.000393   -0.000539   -0.000896    0.000628    0.034696    0.026637    0.034037    0.023909
feature_21   -0.004800    0.002540   -0.004960   -0.004953    0.000393    1.000000    0.020198   -0.102204    0.987995    0.004007   -0.003734   -0.008281    0.008622
feature_26    0.000230   -0.001429    0.000290    0.000208   -0.000539    0.020198    1.000000    0.258247    0.028195    0.009013   -0.017767    0.008572   -0.018152
feature_27   -0.147011   -0.008241   -0.147133   -0.147141   -0.000896   -0.102204    0.258247    1.000000   -0.120282   -0.029197    0.010740   -0.042918    0.033242
feature_31   -0.004704    0.003569   -0.004943   -0.004935    0.000628    0.987995    0.028195   -0.120282    1.000000    0.005423   -0.004798   -0.009147    0.010002
feature_39   -0.004601    0.048791   -0.008396   -0.007492    0.034696    0.004007    0.009013   -0.029197    0.005423    1.000000    0.242012    0.706575    0.151237
feature_42   -0.002657    0.004374   -0.002914   -0.002162    0.026637   -0.003734   -0.017767    0.010740   -0.004798    0.242012    1.000000    0.158828    0.691701
feature_50   -0.029423    0.049272   -0.033160   -0.032311    0.034037   -0.008281    0.008572   -0.042918   -0.009147    0.706575    0.158828    1.000000    0.146115
feature_53    0.024441    0.002564    0.024315    0.024972    0.023909    0.008622   -0.018152    0.033242    0.010002    0.151237    0.691701    0.146115    1.000000
